id,plate,date,price
149,X995AP550,2024-12-07 00:00:00,60000
150,M554EM190,2024-04-10 00:00:00,70000
151,O999EE32,2024-12-01 00:00:00,600000
152,B009BX50,2024-11-19 00:00:00,330000
153,T813MM193,2023-02-28 00:00:00,50000
154,M381AX977,2024-12-16 00:00:00,50000
155,M381AX977,2025-01-26 00:00:00,30000
156,P079PP77,2025-01-09 00:00:00,2500000
157,C777EP193,2024-12-05 00:00:00,1150000
158,T024CM797,2025-01-18 00:00:00,90000
159,Y049TX797,2025-01-13 00:00:00,100000
160,E555PY750,2023-09-21 17:41:45,300000
161,E555PY750,2024-04-06 11:42:51,450000
162,E555PY750,2024-04-10 18:38:14,400000
163,E555PY750,2024-04-17 17:12:33,350000
164,E555PY750,2024-05-11 00:44:50,300000
165,E555PY750,2024-05-14 00:00:00,350000
166,E555PY750,2024-05-19 11:07:45,300000
167,E555PY750,2024-07-29 15:38:46,250000
168,E579KX50,2024-07-04 00:00:00,1200000
169,K288AT716,2023-12-05 00:00:00,150000
170,C799OC797,2025-02-08 00:00:00,150000
171,P111YC26,2022-03-28 00:00:00,180000
172,T696YM97,2024-08-11 09:51:22,200000
173,K898YM77,2023-10-12 00:00:00,550000
174,B848AO550,2024-12-07 00:00:00,70000
175,B424PK797,2025-01-03 00:00:00,55000
176,E007TO69,2024-01-25 00:00:00,80000
177,A636TB790,2025-02-09 00:00:00,40000
178,K700AA550,2025-01-27 00:00:00,200000
179,P555PB31,2024-10-09 00:00:00,1000000
180,E400OX790,2024-11-12 00:00:00,65000
181,O011XX198,2023-08-22 00:00:00,200000
182,H700PA797,2024-12-25 00:00:00,200000
183,O795OO177,2025-01-17 00:00:00,800000
184,K200TK46,2024-05-06 00:00:00,139999
185,X112TY797,2024-12-12 00:00:00,65000
186,O020AX550,2024-12-27 00:00:00,80000
187,H010BE97,2024-08-21 12:12:43,160000
188,O998PY05,2024-11-26 00:00:00,250000
189,M515XM82,2024-06-09 00:00:00,50000
190,K010KT190,2023-11-17 00:00:00,125000
191,H666HK198,2023-09-14 00:00:00,170000
192,Y553CC42,2024-07-21 00:00:00,90000
193,C200YC22,2023-08-03 00:00:00,50000
194,Y797YC790,2024-04-24 20:44:02,35000
195,Y797YC790,2024-05-01 22:13:58,50000
196,Y797YC790,2024-05-03 22:39:45,70000
197,K959AB250,2024-12-10 00:00:00,50000
198,E113TO797,2025-02-11 00:00:00,60000
199,M300OO799,2025-02-10 00:00:00,900000
200,M383OB797,2024-06-05 00:00:00,58000
201,Y016AM716,2024-08-07 00:00:00,50000
202,B076TY797,2025-01-12 00:00:00,55000
203,A897OO977,2024-11-28 19:28:03,500000
204,A007HT50,2022-12-08 00:00:00,180000
205,H868TB797,2025-01-13 00:00:00,70000
206,O066PE777,2024-10-30 00:00:00,240000
207,H050PA797,2024-05-06 00:00:00,150000
208,C777OH790,2022-11-13 00:00:00,250000
209,O300KM790,2023-02-04 00:00:00,60000
210,M896MO190,2022-12-28 00:00:00,200000
211,E333XT197,2023-07-22 00:00:00,350000
212,Y006YT93,2022-12-22 00:00:00,150000
213,K099YP73,2023-10-17 00:00:00,200000
214,T272PY797,2024-04-06 23:37:13,65000
215,C005TM750,2024-01-19 00:00:00,135000
216,C021AB250,2024-12-09 00:00:00,40000
217,T111OY190,2024-11-06 09:13:36,370000
218,T111OY190,2024-11-18 17:58:28,350000
219,T111OY190,2024-12-11 12:11:38,320000
220,T111OY190,2025-02-01 19:40:06,350000
221,B570PK86,2023-04-28 00:00:00,85000
222,X845PH797,2025-02-11 00:00:00,55000
223,B300CC24,2025-01-13 00:00:00,150000
224,A444MH199,2022-09-05 00:00:00,150000
225,Y999AK193,2024-01-24 00:00:00,370000
226,B001XE150,2023-06-15 00:00:00,200000
227,A069MP05,2024-10-08 00:00:00,250000
228,X444XO178,2024-03-14 00:00:00,160000
229,H050AT790,2022-02-13 00:00:00,100000
230,C208CC90,2023-11-09 00:00:00,300000
231,E997CY799,2023-06-06 00:00:00,90000
232,E997CY799,2023-09-04 21:50:20,150000
233,M483YP197,2023-01-31 00:00:00,100000
234,M483YP197,2024-04-18 00:00:00,220000
235,P131TX790,2025-02-10 00:00:00,39990
236,A349OP797,2024-01-12 00:00:00,30000
237,E570OO142,2024-12-04 00:00:00,120000
238,T661TE77,2024-09-21 00:00:00,70000
239,B995PM777,2024-07-07 00:00:00,250000
240,A018OO197,2024-12-29 00:00:00,300000
241,B045BK797,2025-02-08 00:00:00,70000
242,H007PX77,2025-01-30 00:00:00,1570000
243,C666AA199,2024-09-15 00:00:00,1000000
244,C007KC77,2023-05-22 00:00:00,1000000
245,C007KC77,2023-09-04 10:44:54,1250000
246,O799PM799,2024-02-26 00:00:00,200000
247,O939MT54,2024-10-12 00:00:00,45000
248,H066PA82,2024-08-15 00:00:00,80000
249,E093TK797,2024-11-05 00:00:00,50000
250,Y700BM55,2023-10-29 00:00:00,250000
251,B053AH550,2025-01-10 00:00:00,140000
252,E700PP797,2024-12-08 00:00:00,270000
253,P197CA197,2024-05-11 00:00:00,290000
254,P233XX790,2023-07-14 00:00:00,25000
255,E063EE197,2024-02-11 00:00:00,1950000
256,E063EE197,2024-09-02 13:51:21,2500000
257,E063EE197,2025-02-03 00:00:00,2780000
258,E070MM193,2024-11-16 00:00:00,150000
259,C511OP797,2024-10-31 00:00:00,70000
260,T009EM777,2024-08-01 22:59:40,400000
261,T009EM777,2024-08-12 10:01:49,450000
262,T009EM777,2024-09-10 12:12:28,350000
263,O111BH11,2022-12-24 00:00:00,220000
264,X991HC797,2024-06-23 00:00:00,99000
265,A076KA977,2025-01-20 00:00:00,30000
266,K474AY142,2024-11-24 00:00:00,25000
267,C200YT152,2024-11-05 00:00:00,250000
268,X935XX23,2023-01-26 00:00:00,250000
269,X013OX197,2022-05-09 22:47:33,250000
270,E333YX178,2023-05-15 00:00:00,75000
271,T600MT790,2023-02-07 00:00:00,50000
272,O508OM198,2023-09-13 00:00:00,60000
273,Y090EE716,2024-11-13 00:00:00,100000
274,A255AA177,2024-06-21 00:00:00,3000000
275,E919EK163,2022-04-14 00:00:00,60000
276,A054AA150,2023-01-09 00:00:00,450000
277,H004CH177,2025-01-23 00:00:00,220000
278,A212OC797,2024-12-11 00:00:00,90000
279,K025XK97,2024-04-09 00:00:00,350000
280,M500EK716,2024-05-15 00:00:00,120000
281,B395AO550,2025-01-31 00:00:00,60000
282,B700BX142,2023-05-12 00:00:00,60000
283,C953CX797,2025-01-31 00:00:00,60000
284,K777YY41,2024-04-19 00:00:00,1500000
285,E407BA550,2025-02-10 00:00:00,130000
286,Y025OX77,2023-05-17 00:00:00,95000
287,Y025OX77,2024-11-14 00:00:00,170000
288,E696KT193,2023-08-26 00:00:00,170000
289,K888KP152,2024-11-05 00:00:00,290000
290,B784TC797,2024-11-27 00:00:00,70000
291,T111OB790,2022-12-03 16:25:26,160000
292,T111OB790,2024-06-20 00:00:00,250000
293,C047HY790,2024-12-12 00:00:00,40000
294,H787YT790,2024-04-19 00:00:00,100000
295,E977AP550,2024-12-11 00:00:00,70000
296,T059MB797,2025-02-12 00:00:00,70000
297,K489PH797,2025-01-02 00:00:00,30000
298,M999OM05,2024-09-11 00:00:00,2100000
299,E309CB797,2024-12-26 00:00:00,50000
300,E444ET777,2025-02-11 00:00:00,540000
301,M256PC797,2025-02-07 00:00:00,30000
302,M330TP797,2025-01-13 00:00:00,30000
303,O800KK977,2024-12-07 00:00:00,150000
304,H222MP123,2022-05-23 00:00:00,120000
305,M900YE33,2024-06-05 00:00:00,100000
306,M303MB31,2022-04-18 00:00:00,35000
307,M151CM126,2024-03-30 00:00:00,65000
308,C161YH790,2025-01-16 00:00:00,80000
309,B060YY799,2023-09-13 00:00:00,50000
310,X117XX197,2023-10-06 00:00:00,550000
311,T686TC797,2024-11-29 00:00:00,60000
312,M600AH797,2022-02-10 00:00:00,50000
313,M020EM68,2023-10-14 00:00:00,350000
314,T017TP797,2025-02-08 00:00:00,150000
315,P505EC777,2024-11-13 22:59:25,180000
316,P505EC777,2024-11-27 18:40:26,170000
317,P505EC777,2024-12-15 13:40:57,150000
318,P505EC777,2024-12-27 16:52:41,180000
319,Y009KP77,2025-01-13 18:21:14,550000
320,Y009KP77,2025-02-10 00:00:00,450000
321,B050BA550,2024-12-27 00:00:00,325000
322,C454HT797,2024-04-22 00:00:00,55000
323,Y737MY797,2023-08-15 00:00:00,80000
324,P696TA40,2022-03-23 00:00:00,30000
325,H017MM77,2025-02-10 00:00:00,550000
326,P200PX197,2023-05-01 00:00:00,50000
327,M377TT27,2024-06-15 00:00:00,70000
328,X001YT197,2024-06-09 00:00:00,850000
329,C275OM797,2025-02-11 00:00:00,50000
330,M310MM190,2024-12-11 00:00:00,650000
331,O111PO96,2023-07-12 00:00:00,180000
332,M999YK190,2024-08-28 00:00:00,1000000
333,P007XY197,2024-01-11 13:26:37,350000
334,P007XY197,2024-03-08 00:36:13,400000
335,O087MM198,2024-07-10 00:00:00,350000
336,E007XA77,2023-10-18 00:00:00,50000000
337,H300YH197,2022-10-08 00:00:00,69000
338,C999AM197,2025-01-08 00:00:00,900000
339,A050XP199,2024-10-06 13:54:09,165000
340,X191HO30,2024-07-15 00:00:00,500000
341,C023KP797,2022-01-18 20:27:06,250000
342,C023KP797,2022-01-25 20:34:00,200000
343,C023KP797,2022-02-16 14:40:22,130000
344,A858KA142,2022-06-19 00:00:00,100000
345,X064TK790,2024-03-15 20:44:14,25000
346,M900OB190,2024-02-21 00:00:00,200000
347,M900OB190,2024-07-16 11:44:08,199000
348,Y011HT797,2025-01-23 00:00:00,210000
349,K552KK64,2024-09-09 00:00:00,400000
350,P555MB190,2022-04-27 00:00:00,250000
351,P555MB190,2023-05-06 22:37:11,160000
352,T202YO97,2022-04-22 00:00:00,50000
353,A484EX797,2023-06-16 00:00:00,40000
354,B939MC199,2022-06-30 00:00:00,39900
355,X300EE777,2023-07-19 00:00:04,185000
356,P232EC23,2023-12-16 00:00:00,40000
357,A434YE123,2023-10-27 00:00:00,40000
358,X505TO797,2024-12-12 00:00:00,140000
359,B222PA177,2024-10-02 00:00:00,1000000
360,K760YK790,2024-11-17 00:00:00,100000
361,A026TX797,2025-02-11 00:00:00,50000
362,P727PP150,2025-01-14 00:00:00,450000
363,C939TX790,2024-09-11 00:00:00,30000
364,C218CO797,2025-02-08 00:00:00,60000
365,C509BO716,2024-05-27 00:00:00,50000
366,O007AO190,2022-08-11 00:00:00,250000
367,C777YM99,2022-12-26 12:58:54,530000
368,C777YM99,2024-02-25 16:18:38,1100000
369,M464PA797,2025-02-12 00:00:00,25000
370,K083OO797,2025-02-03 00:00:00,200000
371,M505EK05,2024-07-29 00:00:00,400000
372,E200EO164,2023-06-16 00:00:00,55000
373,O968KM797,2025-02-11 00:00:00,55000
374,X166XX78,2024-12-02 00:00:00,300000
375,T400XH790,2024-01-04 00:00:00,180000
376,X021AB99,2024-12-29 00:00:00,250000
377,K050AE196,2024-04-30 00:00:00,170000
378,M063BA977,2024-10-05 00:00:00,290000
379,K666OX177,2022-11-24 00:00:00,145000
380,E400OO177,2024-07-21 17:52:30,400000
381,K511XY28,2023-02-21 00:00:00,45000
382,T111PX199,2025-02-12 00:00:00,700000
383,E838OT797,2024-05-31 00:00:00,58000
384,X808ET790,2024-10-16 00:00:00,80000
385,A545MO190,2024-08-21 00:00:00,1500000
386,A800BK142,2024-06-07 00:00:00,100000
387,A096AA97,2024-09-12 00:00:00,8000000
388,M001BP750,2025-01-23 00:00:00,500000
389,B109OP77,2023-06-10 18:59:28,155000
390,P006AC26,2023-06-01 00:00:00,150000
391,X660AC550,2024-12-12 00:00:00,100000
392,K666YX750,2024-12-08 15:08:42,200000
393,K666YX750,2024-12-25 11:34:36,170000
394,K666YX750,2025-01-24 00:00:00,180000
395,K666YX750,2025-01-24 10:39:37,170000
396,K666YX750,2025-02-01 19:40:05,150000
397,P101BY196,2024-10-21 00:00:00,500000
398,H707HA777,2025-02-06 00:00:00,700000
399,A917MM197,2022-11-18 00:00:00,750000
400,A778OC777,2022-09-19 00:00:00,250000
401,E718KX90,2025-01-07 00:00:00,1000000
402,C969KO797,2025-02-06 00:00:00,100000
403,B666OP22,2023-07-27 00:00:00,111222
404,P008TB790,2025-01-19 00:00:00,200000
405,M600AT550,2024-08-20 00:00:00,6000000
406,P912OO797,2025-01-20 00:00:00,45000
407,A001TE147,2023-10-12 00:00:00,270000
408,B200MA28,2024-06-26 00:00:00,105000
409,E123MT797,2022-08-19 00:00:00,25000
410,Y555OE790,2022-11-29 09:32:46,150000
411,Y555OE790,2022-12-02 00:06:13,155000
412,O939PH797,2024-12-10 00:00:00,55000
413,B490TE797,2024-12-19 00:00:00,55000
414,O500XO777,2021-05-08 20:09:10,270000
415,C958AK550,2024-12-16 00:00:00,30000
416,T707TB05,2023-12-28 00:00:00,85000
417,O020MP26,2023-10-11 00:00:00,70000
418,H222XE77,2024-03-13 12:02:13,570000
419,H222XE77,2024-07-30 09:49:57,600000
420,H222XE77,2025-01-25 00:00:00,699000
421,M300YO799,2024-01-30 00:00:00,300000
422,O271KA977,2025-02-07 00:00:00,30000
423,H800XM799,2024-07-20 00:00:00,138000
424,M005MX05,2023-11-22 00:00:00,2000000
425,B707YE197,2025-02-08 00:00:00,160000
426,T011YO790,2024-12-12 00:00:00,70000
427,P800KX797,2025-02-12 00:00:00,650000
428,K888HM197,2024-02-17 00:00:00,700000
429,A015XT797,2024-12-13 00:00:00,80000
430,O001BA777,2024-03-15 00:03:59,1200000
431,P584AK550,2024-12-07 00:00:00,60000
432,M911PM777,2024-06-23 00:00:00,380000
433,M911PM777,2025-02-11 00:00:00,700000
434,K061AP550,2025-01-02 00:00:00,50000
435,K061AP550,2025-01-10 00:00:00,70000
436,K575PE797,2024-12-08 00:00:00,30000
437,O100OX797,2024-06-27 00:00:00,270000
438,H600AP777,2024-02-27 00:00:00,250000
439,T260KX77,2025-01-25 00:00:00,200000
440,C019HC790,2025-02-12 00:00:00,100000
441,O625KK761,2024-10-25 00:00:00,99000
442,A323OM797,2025-02-08 00:00:00,70000
443,O007MX11,2022-05-23 00:00:00,130000
444,A221YA190,2024-06-05 00:00:00,70000
445,P098EK98,2024-10-31 00:00:00,1000000
446,T145TT190,2024-12-23 12:35:52,200000
447,T145TT190,2025-02-09 00:00:00,190000
448,T145TT190,2025-02-09 14:45:21,200000
449,B555EP197,2023-09-28 00:00:00,600000
450,K595OA797,2025-02-02 00:00:00,100000
451,E002HT72,2023-12-25 00:00:00,300000
452,O868PA116,2024-05-03 00:00:00,50000
453,O707OK46,2022-09-04 00:00:00,100000
454,O797CK06,2024-11-30 00:00:00,797000
455,O222KX777,2025-01-25 00:00:00,650000
456,B383AE797,2025-01-29 00:00:00,75000
457,H090YY199,2024-02-19 00:00:00,70000
458,T150HH30,2023-11-04 00:00:00,50000
459,O200EB797,2022-02-10 00:00:00,70000
460,B555AE190,2023-09-12 00:00:00,215000
461,P500OA77,2023-03-04 00:00:00,250000
462,A467MO90,2024-07-16 11:44:08,560000
463,H747KH790,2024-07-14 00:00:00,100000
464,M003MM197,2025-02-04 00:00:00,5500000
465,Y140KX77,2024-06-07 00:00:00,200000
466,K316OT797,2023-11-15 00:00:00,160000
467,M055BB550,2024-12-24 00:00:00,305000
468,X100KY197,2023-12-08 00:00:00,200000
469,K900KE977,2025-01-27 00:00:00,210000
470,C669AA98,2023-11-13 00:00:00,30000
471,C999TO34,2024-10-10 00:00:00,350000
472,E800OB193,2024-12-18 01:04:20,115000
473,E800OB193,2025-01-02 22:00:58,100000
474,P061KO977,2025-01-31 00:00:00,60000
475,A005KP125,2023-12-11 00:00:00,300000
476,E052EA977,2023-09-04 21:50:20,65000
477,E431KX774,2024-11-23 00:00:00,100000
478,K080TP797,2024-12-03 00:00:00,115000
479,B080BK790,2023-11-20 00:00:00,111000
480,A500XM41,2024-07-18 00:00:00,150000
481,P024BA550,2025-02-03 00:00:00,50000
482,H222PC790,2024-09-06 00:00:00,270000
483,K130AA977,2022-06-25 19:57:59,50000
484,K130AA977,2024-06-25 21:52:41,100000
485,Y300CO777,2025-01-31 00:00:00,650000
486,B887KE977,2025-02-11 00:00:00,55000
487,O200PY750,2024-12-25 00:00:00,89990
488,K525XY790,2024-10-13 00:00:00,30000
489,B393AB977,2025-02-08 00:00:00,100000
490,M760MM190,2022-12-15 16:13:05,1000000
491,T018CT799,2024-12-03 00:00:00,150000
492,T055TC05,2024-05-24 00:00:00,200000
493,T600EA790,2024-03-19 18:55:38,120000
494,T600EA790,2024-04-30 11:25:23,80000
495,T600EA790,2024-06-29 21:48:29,70000
496,T600EA790,2024-07-22 13:45:36,80000
497,T600EA790,2024-07-26 20:19:59,65000
498,T400AT163,2023-10-16 00:00:00,120000
499,O700PK199,2023-08-14 00:00:00,150000
500,O700PK199,2023-10-11 21:37:58,160000
501,H077HE37,2022-11-27 00:00:00,25000
502,A210XA77,2024-08-08 00:00:00,70000
503,E068CX68,2024-02-14 00:00:00,100000
504,A999HC08,2022-09-22 00:00:00,400000
505,A999HC08,2022-10-19 00:00:00,230000
506,M766PM48,2024-06-18 00:00:00,300000
507,C080CK797,2025-02-07 00:00:00,170000
508,P700PY790,2024-09-21 00:00:00,120000
509,T099TY797,2025-01-11 00:00:00,130000
510,M707AY777,2022-01-22 16:14:39,180000
511,M665MP90,2023-04-24 20:45:49,250000
512,O015PO797,2024-09-29 00:00:00,100000
513,K254OB797,2025-01-16 00:00:00,30000
514,E789TO797,2024-12-06 00:00:00,60000
515,X184XX95,2025-02-04 00:00:00,300000
516,A067MP05,2024-08-24 00:00:00,220000
517,K707AX147,2023-04-29 22:01:32,40000
518,K616HA95,2024-02-05 00:00:00,150000
519,X042YK42,2023-01-18 00:00:00,110000
520,T050CA05,2024-02-27 00:00:00,120000
521,X041BB977,2024-12-13 00:00:00,90000
522,X479AA97,2023-04-16 00:00:00,75000
523,O626PH26,2023-05-11 00:00:00,100000
524,B949XY790,2024-11-27 00:00:00,30000
525,E768MP797,2024-12-10 00:00:00,100000
526,Y003YY98,2024-09-23 00:00:00,3000000
527,T989OE797,2025-02-03 14:10:32,40000
528,K353AE550,2024-05-24 00:00:00,50000
529,P888PP99,2025-01-17 00:00:00,15000000
530,X222AO790,2023-10-22 09:35:56,140000
531,H666BC790,2024-10-06 00:00:00,180000
532,H093OO790,2025-02-03 00:00:00,50000
533,T550BA550,2024-05-21 00:00:00,250000
534,T550BA550,2025-02-08 00:00:00,370000
535,H858TP26,2023-07-19 00:00:00,50000
536,C001CO01,2024-08-12 00:00:00,10000000
537,E989TC797,2024-11-21 19:18:29,30000
538,E079AY790,2024-07-09 00:00:00,50000
539,M412YP790,2025-01-05 00:00:00,90000
540,C333CC13,2022-05-18 00:00:00,1200000
541,C333CC13,2024-03-02 00:00:00,850000
542,H858XH150,2024-07-30 00:00:00,100000
543,O200OO55,2023-11-27 00:00:00,2000000
544,C336MM97,2022-03-29 00:00:00,150000
545,H009OO199,2024-12-17 11:16:35,1000000
546,P202MT797,2023-02-03 23:20:54,60000
547,P202MT797,2024-01-11 21:43:27,100000
548,O009YH790,2024-12-06 00:00:00,185000
549,O069MM790,2025-01-18 00:00:00,75000
550,K545TA797,2025-01-30 00:00:00,80000
551,K666PA62,2023-12-13 00:00:00,250000
552,K077CK777,2022-06-04 00:00:00,300000
553,Y242KY797,2025-02-10 00:00:00,50000
554,O797BH550,2024-10-04 16:22:07,35000
555,X573EK977,2024-11-13 00:00:00,50000
556,K444TO777,2024-04-01 00:00:00,700000
557,H850TC797,2025-02-11 00:00:00,75000
558,B050KY01,2024-11-12 00:00:00,70000
559,E323TA797,2024-12-13 00:00:00,70000
560,P200HH57,2023-01-16 00:00:00,200000
561,C666OC66,2024-09-13 00:00:00,15000000
562,C015EA97,2021-07-19 22:43:25,150000
563,C015EA97,2022-09-26 00:43:15,145000
564,K444EA164,2023-10-02 00:00:00,300000
565,M222EP193,2023-08-01 00:00:00,400000
566,P873PP190,2024-03-29 00:00:00,200000
567,K137AE550,2025-02-11 00:00:00,50000
568,O001KK93,2025-01-29 00:00:00,5000000
569,A093XM797,2025-01-11 00:00:00,50000
570,A911EC790,2024-05-26 00:00:00,99000
571,K097MO797,2024-12-03 00:00:00,90000
572,Y555XB777,2024-06-30 00:00:00,800000
573,Y555XB777,2024-07-06 00:00:00,750000
574,Y555XB777,2024-12-15 13:40:47,800000
575,A289OO797,2025-02-08 00:00:00,140000
576,K686PT797,2024-12-25 00:00:00,55000
577,K009ME90,2023-07-31 00:00:00,350000
578,X171TT797,2024-10-23 15:38:39,40000
579,A047YH797,2024-12-19 00:00:00,70000
